state, city, latitude, longitude, original_order, tsp_order
ME, Lisbon, 44.028388, -70.10414, 101, 1
ME, Bangor, 44.788802, -68.77929, 11, 2
NC, Greenville, 35.573096, -77.390707, 50, 3
NC, Kenansville, 34.950783, -77.984284, 60, 4
NC, Asheville, 35.597179, -82.555619, 52, 5
NM, Albuquerque, 35.036035, -106.61952, 106, 6
AZ, Phoenix, 33.449759, -112.070973, 48, 7
AZ, Phoenix, 33.469444, -112.096667, 9, 8
AZ, Prescott Valley, 34.588982, -112.336756, 72, 9
OH, St. Clairsville, 40.073578, -80.975365, 10, 10
PA, Scranton, 41.410001, -75.656968, 16, 11
PA, Scranton, 41.410001, -75.656968, 129, 12
PA, Wilkes-Barre, 41.240536, -75.848551, 76, 13
NH, Laconia, 43.537006, -71.472671, 55, 14
ME, Portland, 43.659436, -70.257072, 27, 15
PA, Hershey, 40.286422, -76.669096, 118, 16
PA, Johnstown, 40.322896, -78.922769, 88, 17
OH, Canton, 40.807921, -81.372986, 54, 18
OH, Toledo, 41.651085, -83.536696, 17, 19
MI, Grand Rapids, 43.009897, -85.680959, 107, 20
WI, Eau Claire, 44.79891, -91.498549, 109, 21
IA, Davenport, 41.52286, -90.573511, 19, 22
OH, Toledo, 41.592692, -83.651796, 61, 23
OH, Geneva, 41.773889, -80.938399, 100, 24
PA, Erie, 42.128001, -80.080889, 36, 25
MI, Warren, 42.506959, -82.97466, 108, 26
MI, Sterling Heights, 42.562184, -82.974738, 124, 27
MI, Novi, 42.489125, -83.502467, 68, 28
OH, Cleveland, 41.399359, -81.853171, 91, 29
OH, Akron, 41.075882, -81.508743, 42, 30
FL, St. Augustine, 29.874679, -81.283264, 93, 31
FL, Jacksonville, 30.325811, -81.645058, 26, 32
NC, Fletcher, 35.426916, -82.533594, 87, 33
NC, Greensboro, 36.058682, -79.826131, 4, 34
VA, Ashburn, 38.992491, -77.530972, 24, 35
PA, Moon, 40.497149, -80.222248, 2, 36
PA, Moon Township, 40.497149, -80.222248, 125, 37
OH, Toledo, 41.649375, -83.536583, 99, 38
MI, Dimondale, 42.682162, -84.654837, 40, 39
MI, Grand Rapids, 42.969537, -85.673159, 131, 40
OH, Springfield, 39.897876, -83.729639, 98, 41
NC, Greensboro, 36.055512, -79.827787, 82, 42
NC, Charlotte, 35.223079, -80.846097, 39, 43
FL, Pensacola, 30.404284, -87.218129, 111, 44
FL, Pensacola, 30.416405, -87.208907, 51, 45
NC, High Point, 35.971107, -79.996, 59, 46
NC, Kinston, 35.324275, -77.611767, 97, 47
NC, Wilmington, 34.266893, -77.91052, 120, 48
NC, Wilmington, 34.224998, -77.878314, 32, 49
VA, Virginia Beach, 36.80135, -76.196946, 90, 50
NH, Windham, 42.795007, -71.322534, 30, 51
NH, Manchester, 42.986589, -71.461666, 130, 52
CT, Fairfield, 41.219599, -73.244748, 37, 53
PA, Manheim, 40.106, -76.419004, 69, 54
OH, Delaware, 40.314033, -83.075855, 86, 55
OH, Columbus, 39.970315, -83.000813, 22, 56
OH, Wilmington, 39.431495, -83.78663, 117, 57
OH, Cincinnati, 39.097991, -84.504479, 81, 58
NC, Winston-Salem, 36.124772, -80.25487, 15, 59
NC, Concord, 35.388847, -80.50045, 114, 60
NC, Raleigh, 35.793971, -78.71033, 128, 61
NC, Raleigh, 35.771219, -78.639576, 12, 62
VA, Fredericksburg, 38.315819, -77.507836, 41, 63
IA, Des Moines, 41.591567, -93.622505, 28, 64
IA, Clive, 41.61243, -93.757797, 53, 65
IA, Council Bluffs, 41.239984, -95.888432, 65, 66
WI, Waukesha, 43.034655, -88.241351, 66, 67
WI, West Bend, 43.35626, -88.186619, 38, 68
WI, Green Bay, 44.517772, -88.011412, 29, 69
MN, Minneapolis, 44.874283, -93.227785, 123, 70
NV, Las Vegas, 36.121174, -115.169653, 104, 71
NV, Henderson, 36.019262, -115.081401, 73, 72
CO, Colorado Springs, 38.822981, -104.848422, 84, 73
TX, Dallas, 32.768777, -96.797987, 6, 74
TX, The Woodlands, 30.160721, -95.460399, 7, 75
FL, Sarasota, 27.335988, -82.509023, 127, 76
FL, Tampa, 27.989841, -82.365494, 119, 77
FL, Tampa, 27.993236, -82.36408, 94, 78
FL, Orlando, 28.607225, -81.197367, 110, 79
FL, Sanford, 28.776907, -81.250506, 95, 80
CO, Denver, 39.781011, -104.971494, 121, 81
CO, Golden, 39.722224, -105.170991, 103, 82
WA, Everett, 47.978594, -122.202995, 47, 83
NV, Reno, 39.485859, -119.79211, 74, 84
NV, Las Vegas, 36.12474, -115.172538, 8, 85
FL, Estero, 26.440474, -81.778847, 58, 86
FL, Naples, 26.306621, -81.588431, 92, 87
FL, Tampa, 27.941864, -82.456741, 3, 88
FL, Tampa, 27.989841, -82.365494, 44, 89
FL, Kissimmee, 28.29894, -81.368987, 34, 90
FL, Daytona Beach, 29.22841, -81.011154, 25, 91
FL, Melbourne, 28.102006, -80.645154, 64, 92
FL, West Palm Beach, 26.681655, -80.189885, 80, 93
FL, Sunrise, 26.158469, -80.325551, 33, 94
FL, Lakeland, 27.987929, -82.019716, 79, 95
FL, Ocala, 29.210997, -82.130582, 78, 96
FL, Tallahassee, 30.486016, -84.162852, 96, 97
FL, Panama City Beach, 30.220178, -85.876728, 77, 98
GA, Atlanta, 33.772459, -84.385781, 5, 99
OH, Cincinnati, 39.279265, -84.445024, 13, 100
CO, Greeley, 40.402217, -104.703044, 105, 101
CO, Denver, 39.720891, -104.895508, 21, 102
CO, Grand Junction, 39.119047, -108.523765, 85, 103
CO, Loveland, 40.443954, -104.989834, 71, 104
IA, Cedar Rapids, 41.973274, -91.669692, 102, 105
IA, Cedar Rapids, 41.979606, -91.668179, 18, 106
NH, Bedford, 42.921455, -71.457567, 67, 107
NH, Portsmouth, 43.058304, -70.772652, 83, 108
NH, Atkinson, 42.81935, -71.181984, 116, 109
PA, Newtown Township, 40.22509, -74.91087, 89, 110
FL, Miami, 25.773152, -80.187326, 112, 111
FL, Miami, 25.771152, -80.190925, 56, 112
FL, Jacksonville, 30.241876, -81.908461, 113, 113
NC, Fayetteville, 35.015014, -78.891834, 31, 114
NC, Selma, 35.549722, -78.224688, 115, 115
VA, Roanoke, 37.279613, -79.936027, 63, 116
PA, Ambridge, 40.592352, -80.226427, 75, 117
IN, Westfield, 40.062626, -86.150213, 14, 118
MS, Jackson, 32.300131, -90.171958, 45, 119
TX, Austin, 30.294317, -97.62108, 43, 120
CO, Colorado Springs, 38.808689, -104.721029, 57, 121
CO, Colorado Springs, 38.892705, -104.79865, 20, 122
CO, Pueblo, 38.266702, -104.607938, 70, 123
IA, Sioux City, 42.494144, -96.400121, 122, 124
OH, Wilmington, 39.523282, -83.843934, 49, 125
PA, Altoona, 40.457553, -78.401057, 35, 126
PA, Mechanicsburg, 40.239965, -77.061506, 23, 127
VA, Leesburg, 39.130687, -77.605531, 126, 128
VA, Richmond, 37.544645, -77.434359, 1, 129
PA, Chester Township, 39.852386, -75.407583, 62, 130
NH, Manchester, 42.982236, -71.465916, 46, 131
